4 0.302455 0.0449116 0.033806 0.084877
0 0.303282 0.0447991 0.0320704 0.0817812
4 0.30336 0.0473909 0.0329397 0.0827781
0 0.302801 0.0473641 0.0336752 0.0805127
0 0.301974 0.0449733 0.0346589 0.0861553
4 0.302217 0.0480043 0.0341452 0.0921316
0 0.29867 0.0465339 0.0346542 0.0835187
0 0.276176 0.0580172 0.0402438 0.109845
0 0.27327 0.0579523 0.042156 0.1123 1
0 0.273627 0.0575411 0.0398732 0.111812 1
0 0.272192 0.0568173 0.0399712 0.112521 1
0 0.27184 0.0576885 0.0405495 0.111854 1
0 0.267968 0.058193 0.0400212 0.115874 1
0 0.267554 0.0577993 0.0395047 0.115599 1
0 0.266939 0.0574599 0.0390551 0.114586 1
0 0.266542 0.0581695 0.0413031 0.116339 1
0 0.264202 0.059998 0.0398905 0.114185 1
0 0.263921 0.0584527 0.0396974 0.113849 1
0 0.263319 0.0587778 0.0403302 0.11614 1
0 0.262613 0.0594991 0.0394725 0.11487 1
0 0.260783 0.0586312 0.0392618 0.115407 1
0 0.260705 0.0585264 0.0385057 0.115802 1
0 0.259952 0.0577758 0.0370309 0.114327 1
0 0.259616 0.0582456 0.0364701 0.114823 1
0 0.258491 0.0584738 0.036782 0.115972 1
0 0.258787 0.0578075 0.0351566 0.115615 1
0 0.257934 0.058051 0.0353704 0.115705 1
